Hora,Temperatura,Humidade,Luminosidade,Gás,Ventoinhas_Estado,Janelas_Estado
09:12:26,25.5,67.0,329,Não,Desligadas,Fechadas
09:12:27,25.5,67.0,329,Não,Ligadas,Fechadas
09:12:36,25.5,67.0,340,Não,Ligadas,Fechadas
09:12:36,25.7,67.0,340,Não,Ligadas,Fechadas
09:12:36,25.7,65.0,340,Não,Ligadas,Fechadas
09:12:37,25.7,65.0,340,Não,Ligadas,Fechadas
09:12:47,25.7,65.0,338,Não,Ligadas,Fechadas
09:12:47,25.5,65.0,338,Não,Ligadas,Fechadas
09:12:57,25.5,65.0,357,Não,Ligadas,Fechadas
09:12:57,26.5,65.0,357,Não,Ligadas,Fechadas
09:12:57,26.5,66.0,357,Não,Ligadas,Fechadas
09:13:07,26.5,66.0,355,Não,Ligadas,Fechadas
09:13:07,26.3,66.0,355,Não,Ligadas,Fechadas
09:13:07,26.3,65.0,355,Não,Ligadas,Fechadas
09:13:17,26.3,65.0,350,Não,Ligadas,Fechadas
09:13:17,26.0,65.0,350,Não,Ligadas,Fechadas
09:13:27,26.0,65.0,360,Não,Ligadas,Fechadas
09:13:27,25.4,65.0,360,Não,Ligadas,Fechadas
09:13:27,25.4,64.0,360,Não,Ligadas,Fechadas
09:13:37,25.4,64.0,361,Não,Ligadas,Fechadas
09:13:37,26.5,64.0,361,Não,Ligadas,Fechadas
09:13:37,26.5,65.0,361,Não,Ligadas,Fechadas
09:13:47,26.5,65.0,333,Não,Ligadas,Fechadas
09:13:47,25.5,65.0,333,Não,Ligadas,Fechadas
09:13:47,25.5,64.0,333,Não,Ligadas,Fechadas
09:13:57,25.5,64.0,346,Não,Ligadas,Fechadas
09:13:57,26.1,64.0,346,Não,Ligadas,Fechadas
09:13:57,26.1,65.0,346,Não,Ligadas,Fechadas
09:14:07,26.1,65.0,355,Não,Ligadas,Fechadas
09:14:07,26.3,65.0,355,Não,Ligadas,Fechadas
09:14:17,26.3,65.0,343,Não,Ligadas,Fechadas
09:14:17,25.7,65.0,343,Não,Ligadas,Fechadas
09:14:17,25.7,64.0,343,Não,Ligadas,Fechadas
09:14:27,25.7,64.0,340,Não,Ligadas,Fechadas
09:14:37,25.7,64.0,348,Não,Ligadas,Fechadas
09:14:37,26.3,64.0,348,Não,Ligadas,Fechadas
09:14:37,26.3,65.0,348,Não,Ligadas,Fechadas
09:14:47,26.3,65.0,339,Não,Ligadas,Fechadas
09:14:47,25.3,65.0,339,Não,Ligadas,Fechadas
09:14:47,25.3,64.0,339,Não,Ligadas,Fechadas
09:14:57,25.3,64.0,343,Não,Ligadas,Fechadas
09:14:57,26.3,64.0,343,Não,Ligadas,Fechadas
09:14:57,26.3,65.0,343,Não,Ligadas,Fechadas
09:15:07,26.3,65.0,334,Não,Ligadas,Fechadas
09:15:07,26.4,65.0,334,Não,Ligadas,Fechadas
09:15:17,26.4,65.0,328,Não,Ligadas,Fechadas
09:15:17,25.8,65.0,328,Não,Ligadas,Fechadas
09:15:17,25.8,64.0,328,Não,Ligadas,Fechadas
09:15:27,25.8,64.0,340,Não,Ligadas,Fechadas
09:15:27,25.5,64.0,340,Não,Ligadas,Fechadas
09:15:37,25.5,64.0,350,Não,Ligadas,Fechadas
09:15:37,26.5,64.0,350,Não,Ligadas,Fechadas
09:15:37,26.5,65.0,350,Não,Ligadas,Fechadas
09:15:47,26.5,65.0,348,Não,Ligadas,Fechadas
09:15:47,25.7,65.0,348,Não,Ligadas,Fechadas
09:15:48,25.7,64.0,348,Não,Ligadas,Fechadas
09:15:57,25.7,64.0,354,Não,Ligadas,Fechadas
09:15:57,25.6,64.0,354,Não,Ligadas,Fechadas
09:15:58,25.6,63.0,354,Não,Ligadas,Fechadas
09:16:07,25.6,63.0,350,Não,Ligadas,Abertas
09:16:08,25.6,63.0,350,Não,Ligadas,Abertas
09:16:08,26.4,63.0,350,Não,Ligadas,Abertas
09:16:08,26.4,64.0,350,Não,Ligadas,Abertas
09:16:08,26.4,64.0,350,Não,Ligadas,Fechadas
09:16:17,26.4,64.0,349,Não,Ligadas,Fechadas
09:16:17,25.5,64.0,349,Não,Ligadas,Fechadas
09:16:17,25.5,63.0,349,Não,Ligadas,Fechadas
09:16:27,25.5,63.0,345,Não,Desligadas,Fechadas
09:16:28,25.5,63.0,345,Não,Desligadas,Fechadas
09:16:28,26.7,63.0,345,Não,Desligadas,Fechadas
09:16:28,26.7,64.0,345,Não,Desligadas,Fechadas
09:16:28,26.7,64.0,345,Não,Ligadas,Fechadas
09:16:37,26.7,64.0,346,Não,Ligadas,Fechadas
09:16:37,26.4,64.0,346,Não,Ligadas,Fechadas
09:16:47,26.4,64.0,337,Não,Ligadas,Fechadas
09:16:57,26.4,64.0,354,Não,Ligadas,Fechadas
09:16:58,26.4,64.0,354,Não,Ligadas,Fechadas
09:16:58,26.7,64.0,354,Não,Ligadas,Fechadas
09:17:07,26.7,64.0,340,Não,Ligadas,Fechadas
09:17:08,26.7,64.0,340,Não,Ligadas,Fechadas
09:17:08,26.3,64.0,340,Não,Ligadas,Fechadas
09:17:18,26.3,64.0,321,Não,Ligadas,Fechadas
09:17:18,26.4,64.0,321,Não,Ligadas,Fechadas
09:17:28,26.4,64.0,326,Não,Ligadas,Fechadas
09:17:28,25.8,64.0,326,Não,Ligadas,Fechadas
09:17:28,25.8,63.0,326,Não,Ligadas,Fechadas
09:17:38,25.8,63.0,286,Não,Ligadas,Fechadas
09:17:38,26.2,63.0,286,Não,Ligadas,Fechadas
09:17:38,26.2,64.0,286,Não,Ligadas,Fechadas
09:17:48,26.2,64.0,310,Não,Ligadas,Fechadas
09:17:48,25.7,64.0,310,Não,Ligadas,Fechadas
09:17:48,25.7,63.0,310,Não,Ligadas,Fechadas
09:17:58,25.7,63.0,308,Não,Desligadas,Fechadas
09:17:58,26.5,63.0,308,Não,Desligadas,Fechadas
09:17:58,26.5,64.0,308,Não,Desligadas,Fechadas
09:17:58,26.5,64.0,308,Não,Ligadas,Fechadas
09:18:08,26.5,64.0,306,Não,Ligadas,Abertas
09:18:08,25.5,64.0,306,Não,Ligadas,Abertas
09:18:08,25.5,63.0,306,Não,Ligadas,Abertas
09:18:08,25.5,63.0,306,Não,Ligadas,Fechadas
09:18:18,25.5,63.0,301,Não,Ligadas,Fechadas
09:18:18,25.7,63.0,301,Não,Ligadas,Fechadas
09:18:28,25.7,63.0,330,Não,Ligadas,Fechadas
09:18:28,25.9,63.0,330,Não,Ligadas,Fechadas
09:18:38,25.9,63.0,366,Não,Ligadas,Fechadas
09:18:38,26.0,63.0,366,Não,Ligadas,Fechadas
09:18:38,26.0,64.0,366,Não,Ligadas,Fechadas
09:18:48,26.0,64.0,366,Não,Ligadas,Fechadas
09:18:48,25.6,64.0,366,Não,Ligadas,Fechadas
09:18:48,25.6,63.0,366,Não,Ligadas,Fechadas
09:18:58,25.6,63.0,374,Não,Ligadas,Fechadas
09:18:58,26.0,63.0,374,Não,Ligadas,Fechadas
09:18:58,26.0,64.0,374,Não,Ligadas,Fechadas
09:19:08,26.0,64.0,375,Não,Ligadas,Fechadas
09:19:08,25.6,64.0,375,Não,Ligadas,Fechadas
09:19:08,25.6,63.0,375,Não,Ligadas,Fechadas
09:19:18,25.6,63.0,365,Não,Ligadas,Fechadas
09:19:18,26.2,63.0,365,Não,Ligadas,Fechadas
09:19:18,26.2,64.0,365,Não,Ligadas,Fechadas
09:19:28,26.2,64.0,355,Não,Ligadas,Fechadas
09:19:28,25.7,64.0,355,Não,Ligadas,Fechadas
09:19:28,25.7,63.0,355,Não,Ligadas,Fechadas
09:19:38,25.7,63.0,355,Não,Ligadas,Fechadas
09:19:38,25.9,63.0,355,Não,Ligadas,Fechadas
09:19:48,25.9,63.0,349,Não,Ligadas,Fechadas
09:19:48,26.5,63.0,349,Não,Ligadas,Fechadas
09:19:48,26.5,64.0,349,Não,Ligadas,Fechadas
09:19:58,26.5,64.0,349,Não,Ligadas,Fechadas
09:19:59,26.5,64.0,349,Não,Ligadas,Fechadas
09:20:08,26.5,64.0,350,Não,Ligadas,Fechadas
09:20:08,25.6,64.0,350,Não,Ligadas,Fechadas
09:20:08,25.6,63.0,350,Não,Ligadas,Fechadas
09:20:18,25.6,63.0,349,Não,Ligadas,Fechadas
09:20:18,26.0,63.0,349,Não,Ligadas,Fechadas
09:20:18,26.0,64.0,349,Não,Ligadas,Fechadas
09:20:28,26.0,64.0,350,Não,Ligadas,Fechadas
09:20:28,26.4,64.0,350,Não,Ligadas,Fechadas
09:20:38,26.4,64.0,348,Não,Ligadas,Fechadas
09:20:38,25.8,64.0,348,Não,Ligadas,Fechadas
09:20:38,25.8,63.0,348,Não,Ligadas,Fechadas
09:20:48,25.8,63.0,344,Não,Ligadas,Fechadas
09:20:58,25.8,63.0,346,Não,Ligadas,Fechadas
09:20:59,25.8,63.0,346,Não,Ligadas,Fechadas
09:20:59,26.4,63.0,346,Não,Ligadas,Fechadas
09:20:59,26.4,64.0,346,Não,Ligadas,Fechadas
09:21:08,26.4,64.0,350,Não,Ligadas,Fechadas
09:21:08,26.5,64.0,350,Não,Ligadas,Fechadas
09:21:19,26.5,64.0,350,Não,Ligadas,Fechadas
09:21:19,25.8,64.0,350,Não,Ligadas,Fechadas
09:21:19,25.8,63.0,350,Não,Ligadas,Fechadas
09:21:28,25.8,63.0,354,Não,Ligadas,Fechadas
09:21:29,25.8,63.0,354,Não,Ligadas,Fechadas
09:21:29,25.7,63.0,354,Não,Ligadas,Fechadas
09:21:29,25.7,62.0,354,Não,Ligadas,Fechadas
09:21:38,25.7,62.0,355,Não,Ligadas,Fechadas
09:21:38,25.5,62.0,355,Não,Ligadas,Fechadas
09:21:49,25.5,62.0,355,Não,Ligadas,Fechadas
09:21:49,26.5,62.0,355,Não,Ligadas,Fechadas
09:21:49,26.5,63.0,355,Não,Ligadas,Fechadas
09:21:59,26.5,63.0,355,Não,Ligadas,Fechadas
09:21:59,25.8,63.0,355,Não,Ligadas,Fechadas
09:21:59,25.8,62.0,355,Não,Ligadas,Fechadas
09:22:09,25.8,62.0,351,Não,Ligadas,Fechadas
09:22:19,25.8,62.0,352,Não,Ligadas,Fechadas
09:22:19,25.5,62.0,352,Não,Ligadas,Fechadas
09:22:29,25.5,62.0,349,Não,Ligadas,Fechadas
09:22:29,26.5,62.0,349,Não,Ligadas,Fechadas
09:22:29,26.5,63.0,349,Não,Ligadas,Fechadas
09:22:39,26.5,63.0,349,Não,Ligadas,Fechadas
09:22:39,25.8,63.0,349,Não,Ligadas,Fechadas
09:22:39,25.8,62.0,349,Não,Ligadas,Fechadas
09:22:49,25.8,62.0,354,Não,Ligadas,Fechadas
09:22:49,26.7,62.0,354,Não,Ligadas,Fechadas
09:22:49,26.7,63.0,354,Não,Ligadas,Fechadas
09:22:59,26.7,63.0,356,Não,Ligadas,Fechadas
09:22:59,25.8,63.0,356,Não,Ligadas,Fechadas
09:22:59,25.8,62.0,356,Não,Ligadas,Fechadas
09:23:09,25.8,62.0,357,Não,Ligadas,Fechadas
09:23:09,26.6,62.0,357,Não,Ligadas,Fechadas
09:23:09,26.6,63.0,357,Não,Ligadas,Fechadas
09:23:19,26.6,63.0,357,Não,Ligadas,Fechadas
09:23:19,25.8,63.0,357,Não,Ligadas,Fechadas
09:23:19,25.8,62.0,357,Não,Ligadas,Fechadas
09:23:29,25.8,62.0,357,Não,Ligadas,Fechadas
09:23:29,26.0,62.0,357,Não,Ligadas,Fechadas
09:23:29,26.0,63.0,357,Não,Ligadas,Fechadas
09:23:39,26.0,63.0,356,Não,Ligadas,Fechadas
09:23:39,25.7,63.0,356,Não,Ligadas,Fechadas
09:23:39,25.7,62.0,356,Não,Ligadas,Fechadas
09:23:49,25.7,62.0,353,Não,Ligadas,Fechadas
09:23:49,25.8,62.0,353,Não,Ligadas,Fechadas
09:23:59,25.8,62.0,346,Não,Ligadas,Fechadas
09:23:59,26.6,62.0,346,Não,Ligadas,Fechadas
09:23:59,26.6,63.0,346,Não,Ligadas,Fechadas
09:24:09,26.6,63.0,351,Não,Ligadas,Fechadas
09:24:09,26.1,63.0,351,Não,Ligadas,Fechadas
09:24:19,26.1,63.0,348,Não,Ligadas,Fechadas
09:24:29,26.1,63.0,346,Não,Ligadas,Fechadas
09:24:29,25.9,63.0,346,Não,Ligadas,Fechadas
09:24:29,25.9,62.0,346,Não,Ligadas,Fechadas
09:24:39,25.9,62.0,346,Não,Ligadas,Fechadas
09:24:39,26.1,62.0,346,Não,Ligadas,Fechadas
09:24:39,26.1,63.0,346,Não,Ligadas,Fechadas
09:24:49,26.1,63.0,348,Não,Ligadas,Fechadas
09:24:49,25.9,63.0,348,Não,Ligadas,Fechadas
09:24:49,25.9,62.0,348,Não,Ligadas,Fechadas
09:24:59,25.9,62.0,348,Não,Ligadas,Fechadas
09:25:00,25.9,62.0,348,Não,Ligadas,Fechadas
09:25:00,26.2,62.0,348,Não,Ligadas,Fechadas
09:25:00,26.2,63.0,348,Não,Ligadas,Fechadas
09:25:09,26.2,63.0,348,Não,Ligadas,Fechadas
09:25:09,25.8,63.0,348,Não,Ligadas,Fechadas
09:25:09,25.8,62.0,348,Não,Ligadas,Fechadas
